graph,wsim,wrank,exprank,expsim,nil,lowlatency
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.1,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.3,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.4,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.5,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.6,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.7,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.8,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.9,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,1,FALSE
