graph,wsim,wrank,exprank,expsim,nil,lowlatency
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
rdf2vec_dbpsg200,0.8,0.5,0.3,0.9,0.2,FALSE
